region_5,rice_type,group,group_label,road_classes,radius_px,requested_buffer_m,effective_radius_m_approx,total_rice_area_acres,road_proximity_rice_area_acres,exposure_proportion,incremental_area_acres,incremental_percentage_points
National,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,23407672.858909875,93157.99115832312,0.0039798057551399665,93157.99115832312,0.3979805755139966
National,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,23407672.858909875,615761.2875695691,0.026305959216069028,522603.29641124594,2.232615346092906
National,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,23407672.858909875,2761432.0056648226,0.11797123201052061,2145670.7180952537,9.166527279445159
National,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,23407672.858909875,149574.02499308076,0.006389957083501663,149574.02499308076,0.6389957083501663
National,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,23407672.858909875,984296.3082144244,0.04205015655111408,834722.2832213436,3.5660199467612417
National,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,23407672.858909875,4125876.160670064,0.17626169784321788,3141579.8524556393,13.42115412921038
National,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,3731267.9759361367,14004.492921461895,0.0037532798533314433,14004.492921461895,0.3753279853331443
National,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,3731267.9759361367,70456.68621748814,0.018882773006892187,56452.19329602624,1.5129493153560742
National,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,3731267.9759361367,377428.07320283,0.10115276512889353,306971.38698534184,8.226999212200134
National,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,3731267.9759361367,23288.28941736684,0.006241387530340554,23288.28941736684,0.6241387530340554
National,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,3731267.9759361367,124485.56835417873,0.03336280566204752,101197.2789368119,2.712141813170697
National,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,3731267.9759361367,641899.2745096274,0.1720324776053056,517413.7061554486,13.866967194325808
